Annual Expected Loss,Property premium,hhldconsumprt,unemploymentrt,CentralG Consumption,LocalG Consumption,dtotalvalueadded,totactualprod,Pinvestcc,Landuse ratio
2148063.268,1919.9222,1.2687353,0.047538464,1504.9297,217.85278,6872.6609,17326.615,1.0411423,0.209626
2244884.996,1926.6298,1.2688174,0.047437873,1518.2296,219.79549,6906.0628,17443.668,1.042361,0.208942
2344083.398,1934.3345,1.2685042,0.047330178,1533.8317,221.93334,6960.5269,17632.323,1.0435452,0.208362
2445848.075,1943.4003,1.2685389,0.047217234,1549.6078,224.2053,7004.4709,17785.529,1.0449595,0.207874
2548520.422,1953.9703,1.2680809,0.047092931,1564.5036,226.38468,7047.966,17938.243,1.0464103,0.20746492
2651353.568,1966.0529,1.2677825,0.047020154,1579.8372,228.62416,7097.7066,18091.038,1.0481303,0.20712592
2757176.917,1979.5714,1.2670079,0.046908779,1594.1959,230.74857,7124.5046,18176.225,1.0498569,0.206849
2871261.086,1994.4049,1.2658136,0.046796718,1607.7488,232.78163,7191.9465,18392.423,1.0514959,0.206629
2995050.05,2010.4105,1.2646914,0.046677922,1624.0816,235.16836,7238.0985,18540.933,1.0532043,0.20646091
3125674.142,2027.4423,1.2634766,0.046577374,1638.8802,237.30788,7283.8534,18686.843,1.0548221,0.20633894
3258424.969,2045.3596,1.2626008,0.046467886,1654.1189,239.39725,7330.4765,18832.12,1.0565466,0.20625996
3391316.408,2064.0321,1.2615628,0.046349115,1668.7579,241.62776,7367.4574,18949.376,1.0582873,0.20622182
3523245.463,2083.3428,1.2606391,0.046239536,1682.3434,243.56196,7422.0324,19117.803,1.0600281,0.2062208
3655238.138,2103.1898,1.2595465,0.046138679,1699.5875,245.93713,7467.131,19267.586,1.0617424,0.20625487
3788595.398,2123.484,1.2585841,0.046036283,1715.2908,248.27517,7511.2482,19412.428,1.0634565,0.20632221
3921613.749,2144.1501,1.2578489,0.045930715,1731.0462,250.52611,7556.1776,19557.383,1.0652803,0.20642165
4056759.83,2165.126,1.2569828,0.045820191,1746.0125,252.5999,7600.0996,19699.808,1.0671115,0.20655089
4201075.993,2186.3599,1.2560438,0.045710987,1762.0606,254.76221,7636.4182,19813.99,1.0690263,0.20670973
4358376.079,2207.8107,1.2552582,0.045614195,1777.3278,256.95195,7691.8934,19991.596,1.0709448,0.20689611
4528355.182,2229.447,1.2540903,0.045485869,1794.7142,259.35909,7735.7887,20137.269,1.0727838,0.20710987
4710025.886,2251.2419,1.2533211,0.045368578,1811.1511,261.67179,7780.7013,20282.062,1.0746702,0.2073499
4904535.584,2273.1801,1.2524817,0.045178924,1826.8496,263.87088,7810.2313,20393.053,1.0765168,0.20761891
5117055.977,2295.2504,1.2519712,0.045047383,1839.7473,265.72813,7849.8165,20523.694,1.0784167,0.20793088
5347912.453,2317.444,1.2515045,0.044940048,1855.4528,268.14008,7903.9146,20700.714,1.0803255,0.20829657
5598346.585,2339.7605,1.2508736,0.044828267,1874.268,270.65313,7945.1673,20840.773,1.0822204,0.20872221
5870430.567,2362.2011,1.250465,0.044737522,1890.5921,272.95137,7986.4644,20980.954,1.0841455,0.20921183
6164134.075,2384.7738,1.249948,0.044646479,1906.0608,275.05343,8013.7122,21078.905,1.0860975,0.20976791
6475302.104,2407.4834,1.2496326,0.044567089,1921.3991,277.45941,8066.1291,21249.293,1.0881367,0.21039231
6797252.778,2430.344,1.2493009,0.044500015,1935.385,279.41323,8113.1141,21402.834,1.0902214,0.21108705
7124350.22,2453.3705,1.2487687,0.044434633,1953.5911,281.98125,8155.7143,21545.862,1.092359,0.21185349
7467280.052,2476.5778,1.248245,0.044363847,1969.3567,284.2132,8198.3819,21688.727,1.0945299,0.21269348
7845660.435,2499.9837,1.2479016,0.044310354,1985.3381,286.36051,8230.957,21797.727,1.0967325,0.21360866
8270321.182,2523.6105,1.247526,0.044252671,1997.9954,288.51518,8264.4869,21908.896,1.0989863,0.21460093
8739948.798,2547.4841,1.247119,0.044223263,2013.8575,291.02114,8327.4845,22110.03,1.1012539,0.21567203
9251556.212,2571.6345,1.2465408,0.044183188,2032.2281,293.59547,8371.8294,22258.735,1.103539,0.21682395
9796336.375,2596.0963,1.246116,0.044146272,2048.5112,295.87215,8415.5541,22402.429,1.1058518,0.21805849
10365830.68,2620.9074,1.2456554,0.044108357,2064.512,298.21749,8459.1502,22546.62,1.108175,0.21966484
10956908.98,2646.1122,1.245356,0.044094383,2078.7583,300.20569,8479.6329,22616.866,1.1105234,0.22260302
11565187.37,2671.7567,1.2450749,0.04408304,2093.3654,302.33219,8548.1455,22831.874,1.1129016,0.22508772
12187409.1,2697.8992,1.244759,0.044078916,2111.4635,304.85377,8592.8913,22977.446,1.1153071,0.22749912
12827013.17,2724.602,1.2442799,0.044048911,2129.2444,307.18007,8636.4995,23123.915,1.1177194,0.23050568
13488813.46,2751.9439,1.2440054,0.044046318,2145.8098,309.59373,8681.7364,23269.492,1.1201824,0.23347209
14166182.98,2780.0216,1.2436944,0.044034591,2161.1441,311.6438,8725.8822,23410.222,1.1226704,0.23656952
14847477.5,2808.9629,1.2437189,0.044042346,2169.8618,313.38819,8772.8957,23553.667,1.1252202,0.23989808
15521339,2838.9407,1.2431645,0.044029572,2194.6772,316.53944,8818.3839,23708.191,1.1277293,0.24339577
