Annual Expected Loss,Property premium,hhldconsumprt,unemploymentrt,CentralG Consumption,LocalG Consumption,dtotalvalueadded,totactualprod,Pinvestcc,Landuse ratio
3861418.051,1921.365195,1.26902026,0.047538452,1502.582987,216.4967922,6856.176494,17282.73377,1.042386494,0.345316
3996103.049,1929.092597,1.269239221,0.047438013,1515.767013,218.4648961,6891.595584,17399.82987,1.043678961,0.344943
4141389.016,1938.062597,1.26886961,0.047331243,1530.782857,220.5747273,6941.994286,17585.48312,1.044928052,0.34462
4297726.032,1948.600519,1.268897922,0.047219642,1546.545974,222.7845584,6985.565065,17737.38701,1.046406104,0.344336
4464524.143,1960.809091,1.268434156,0.047094584,1561.679351,224.9299351,7028.322078,17888.93247,1.047919091,0.344085
4638214.191,1974.654805,1.268081818,0.047016039,1576.876494,227.0997143,7077.348831,18040.82857,1.049700519,0.343862
4814149.442,1990.026753,1.267223377,0.04690151,1591.513896,229.1942987,7121.125195,18178.55195,1.051485195,0.343663
4990205.727,2006.77013,1.26616987,0.0467946,1603.45961,231.0232987,7170.876234,18338.78182,1.053202597,0.343483
5164753.169,2024.716104,1.265202468,0.046689155,1619.963506,233.2657143,7216.682338,18484.65065,1.054994416,0.343322
5337372.649,2043.695195,1.263943896,0.046580971,1635.745195,235.4600909,7261.431429,18629.31169,1.056682727,0.343175
5508578.299,2063.547013,1.263067403,0.046467266,1650.840519,237.592039,7307.13987,18773.08442,1.058485195,0.343041
5682031.013,2084.125065,1.262010909,0.046345545,1664.481818,239.5900909,7327.773377,18840.27013,1.060307922,0.342919
5859582.234,2105.3,1.261303117,0.046247666,1678.281169,241.5872468,7377.872727,18992.14935,1.062144935,0.342806
6044077.481,2126.961169,1.260095844,0.046141373,1695.832857,243.9625974,7441.724675,19202.09481,1.063944026,0.342703
6239290.506,2149.014026,1.258968182,0.046028796,1711.39974,246.1551818,7484.944026,19345.5961,1.065732857,0.342607
6448220.481,2171.381299,1.258294416,0.045927281,1727.087403,248.3643636,7528.756494,19487.46623,1.067639091,0.342518
6676618.909,2193.998312,1.257438961,0.045813651,1742.663247,250.5571169,7558.67013,19589.30909,1.069553766,0.342436
6925635.364,2216.814805,1.25681039,0.045717632,1753.263636,252.2997273,7601.44974,19718.1974,1.071593377,0.342359
7190152.013,2239.792727,1.255802987,0.045615622,1771.328571,254.7161558,7661.729481,19912.75065,1.073591429,0.342287
7467540.545,2262.90039,1.25466039,0.045485945,1790.171039,257.2376883,7704.866753,20055.58961,1.075521558,0.34222
7755334.883,2286.116494,1.25390961,0.045367056,1806.702208,259.5455844,7748.858052,20197.64286,1.077501169,0.342158
8051321.844,2309.424286,1.252916494,0.045165048,1822.152078,261.7125844,7788.432338,20338.22078,1.079434416,0.3421
8354672.377,2332.811948,1.252535974,0.045035264,1832.766753,263.459013,7797.731299,20375.62078,1.08144039,0.342054
8669418.377,2356.272727,1.252025065,0.04492707,1851.107403,265.8934805,7870.101169,20609.43247,1.083441169,0.342021
9011197.234,2379.800649,1.251285455,0.044803957,1869.542597,268.3736234,7909.990779,20747.27662,1.085429091,0.342004
9389217.795,2403.394416,1.250890649,0.044715482,1885.172208,270.5961429,7950.513636,20884.28442,1.087454935,0.342001
9798252.864,2427.055974,1.250514675,0.044629204,1900.908312,272.8258571,7977.054156,20980.10519,1.089519351,0.342011
10233190.75,2450.78987,1.250157922,0.044546373,1915.071558,274.9086883,8021.143377,21125.7039,1.091667792,0.342034
10688789.38,2474.601039,1.249911299,0.044484087,1929.952987,277.0505455,8074.491429,21294.21688,1.093869091,0.342068
11157331.67,2498.495714,1.249360649,0.044414216,1947.900519,279.4964156,8116.893896,21436.54286,1.096121039,0.342111
11629401.77,2522.14026,1.249118831,0.044360519,1964.092208,281.7774026,8159.886364,21575.1013,1.098431948,0.342164
12102661.04,2544.176364,1.248502078,0.044287019,1979.583377,283.9782208,8201.311948,21712.03247,1.100749221,0.342224
12579996.09,2563.673117,1.248126104,0.044229225,1994.792857,286.1603377,8243.392857,21850.62857,1.103122727,0.342291
13066139.05,2581.588961,1.247536623,0.04418766,2009.700909,288.2990519,8287.85039,21997.35325,1.105501688,0.342365
13556631.28,2598.864156,1.247172338,0.044157742,2025.353377,290.5117922,8331.516883,22137.2,1.107927273,0.342445
14052112.3,2616.111299,1.246781558,0.044120397,2042.45987,292.8772338,8374.554416,22278.16883,1.110366623,0.34253
14560255,2633.708961,1.24628013,0.044074306,2058.159481,295.0971299,8410.774545,22394.92987,1.112817403,0.34262
15081634.2,2651.883117,1.245852727,0.044054094,2074.127662,297.3507013,8460.967792,22562.77922,1.115283896,0.342715
15609603.43,2670.750403,1.245607273,0.044040714,2085.666623,299.1951429,8505.11039,22701.48312,1.117795974,0.342815
16128156.92,2690.359649,1.245168831,0.044025761,2105.402857,301.7818052,8549.305455,22846.56234,1.120311818,0.342918
16623008.72,2710.712701,1.244971688,0.044015268,2122.621039,304.1607532,8593.612468,22988.98442,1.122866753,0.343026026
17087838.1,2731.780662,1.244592727,0.04399929,2139.26013,306.4859481,8638.141169,23134.05195,1.125454675,0.343144494
17519892.1,2753.521688,1.244446494,0.043995469,2154.518831,308.6791948,8665.357532,23221.88701,1.128085714,0.343318818
17933415.81,2775.88213,1.244229351,0.043991443,2169.626104,310.8507532,8728.331558,23421.29091,1.130741169,0.343621377
18344353.36,2798.806844,1.243786883,0.043975835,2187.615325,313.2917143,8773.03961,23566.87922,1.133402078,0.344137247
18758521.42,2822.243416,1.243631299,0.043983357,2205.546623,315.7531818,8819.016883,23711.53766,1.136095325,0.344944519
19190119.68,2845.142584,1.24341039,0.043965582,2222.794416,318.147961,8864.669481,23858.70519,1.138823506,0.346110286
19653159.58,2866.321273,1.24322961,0.043947604,2238.478312,320.3987792,8905.504026,23987.22727,1.141587013,0.347678558
20163376.51,2885.150792,1.243232078,0.043942722,2250.926753,322.3346623,8957.141429,24151.10909,1.14440026,0.349675091
20741580.99,2902.786506,1.242821688,0.043932506,2268.656623,324.7540649,9003.537792,24299.92987,1.147198571,0.352104403
21399971.66,2919.726275,1.242545584,0.043909577,2290.212987,327.5656104,9049.308571,24449.08961,1.150015065,0.354948286
22151126.05,2934.996862,1.242313766,0.043871917,2307.564156,329.9817403,9095.817532,24599.55195,1.152873896,0.35817387
22994556.22,2949.58961,1.242188182,0.043839558,2323.254935,332.2524935,9133.121039,24717.94545,1.155771558,0.36173387
23922093.01,2964.114129,1.242237922,0.043837877,2332.686494,333.9248182,9191.445714,24896.15714,1.158737532,0.365568208
24923694.6,2977.624735,1.241896234,0.043832132,2353.211429,336.6127013,9239.123117,25047.97922,1.161682468,0.369610597
25990055.18,2989.240173,1.241558961,0.043811265,2374.857403,339.4190649,9285.857143,25200.19351,1.16463,0.373789351
27111798.21,2999.658736,1.241146753,0.043778756,2393.074545,341.9221299,9332.664935,25354.08182,1.167594156,0.378031481
28271167.84,3010.189206,1.24096039,0.043776299,2408.636364,344.1866883,9374.274026,25479.49221,1.170591039,0.382265429
29445061.44,3021.640387,1.240697792,0.043766044,2427.447922,346.7166494,9405.828312,25589.33117,1.173602078,0.386423403
30632689.83,3034.485512,1.240513506,0.04375717,2439.40039,348.6247792,9476.306104,25801.64026,1.176644545,0.390444571
31829860.06,3048.962788,1.24013974,0.043743526,2461.056883,351.4214545,9525.595974,25961.01948,1.179663896,0.394275234
33037391.62,3064.930115,1.240045065,0.043744051,2479.108312,353.9080779,9574.328571,26112.56494,1.182714935,0.397883
34253181.91,3079.910252,1.239949481,0.043738614,2496.892857,356.3657273,9623.378312,26265.04675,1.185796364,0.401271701
35477674.73,3093.269232,1.239976364,0.043735309,2506.767662,358.1212857,9666.793117,26392.54935,1.188925974,0.404481675
36721589.74,3105.607725,1.239613506,0.043731081,2527.477922,360.7786753,9719.806623,26569.17273,1.192025065,0.407575273
37996318.57,3116.771631,1.239249221,0.04373017,2547.49961,363.4363247,9768.143377,26723.30779,1.19512974,0.410633961
39283333.38,3126.75423,1.239198701,0.043740845,2565.70039,365.9333377,9816.834286,26875.61558,1.198271558,0.413785961
40558313.56,3136.15328,1.239117532,0.043744566,2583.548052,368.3893506,9848.668312,26976.03506,1.201435844,0.417221571
41817190.47,3144.799885,1.239200519,0.043753323,2596.893896,370.4632078,9904.778442,27150.47273,1.204646104,0.421186675
43076902.97,3149.626788,1.239210909,0.043786261,2611.388701,372.588961,9955.29026,27300.8,1.207875325,0.425980532
44361641.56,3147.616174,1.238894675,0.043799231,2635.046494,375.5685195,10011.91974,27489.15974,1.211085714,0.431946714
45681023.86,3141.478332,1.238923377,0.043824147,2653.659221,378.108039,10060.18649,27642.82597,1.21433961,0.439445351
47044002.3,3133.163498,1.238846883,0.043836891,2671.60013,380.5851429,10108.42065,27798.31299,1.217612857,0.448864325
48490834.39,3118.208834,1.239014286,0.043878452,2685.338571,382.6760519,10149.08065,27923.29481,1.220941299,0.460689455
50099139.35,3098.611771,1.239038571,0.043910192,2696.888831,384.5949221,10203.59481,28098.84675,1.22429974,0.475527727
51905215.71,3076.448393,1.238918961,0.043948045,2721.356623,387.6167143,10252.04299,28260.25065,1.227643636,0.49407774
53897721.43,3054.883222,1.239084416,0.04398997,2741.272987,390.2921818,10299.76714,28414.07792,1.231035974,0.517091532
56052845.58,3036.138297,1.239073247,0.044023705,2759.381558,392.8086364,10347.58818,28570.96623,1.234455584,0.545332753
58344823.38,3019.832835,1.239287013,0.044061587,2771.735325,394.8329351,10379.63558,28658.01169,1.237934675,0.579622182
60721394.81,3006.202829,1.239675974,0.044124155,2787.268961,397.1007792,10432.42429,28830.67662,1.241461558,0.62075587
63126337.01,2996.352459,1.23973974,0.044170942,2806.315455,399.6740779,10493.36727,29034.42208,1.244997922,0.669431286
