Annual Expected Loss,Property premium,hhldconsumprt,unemploymentrt,CentralG Consumption,LocalG Consumption,dtotalvalueadded,totactualprod,Pinvestcc,Landuse ratio
4843554.317,1.92E+03,1.269678889,0.047727669,1503.520707,216.2848889,6853.931111,17287.9697,1.044376566,0.209627576
5040068.933,1.93E+03,1.26971697,0.047623317,1517.417576,218.2287475,6891.662424,17425.00202,1.045790808,0.208947919
5247265.726,1.94E+03,1.269291515,0.047501218,1531.971919,220.2182323,6935.065556,17589.7697,1.047151111,0.208378677
5464661.226,1.95E+03,1.269379091,0.047397149,1548.071919,222.3544949,6979.956162,17750.09798,1.048760909,0.207912232
5689948.063,1.96E+03,1.269077677,0.047292572,1564.804848,224.4436667,7022.911515,17900.51111,1.050432525,0.20754104
5922966.702,1.98E+03,1.268811313,0.047215759,1582.391414,226.6086162,7073.096667,18053.23434,1.052368283,0.207263838
6168280.391,1.99E+03,1.267750707,0.047068857,1597.420707,228.5516667,7104.535253,18151.09899,1.054266869,0.207084667
6428512.002,2.01E+03,1.266575253,0.04691891,1613.364343,230.5596869,7168.682121,18356.48485,1.056052626,0.207080343
6710886.18,2.03E+03,1.265462323,0.046774018,1631.572222,232.722697,7214.309091,18507.99192,1.057883333,0.207286162
7018054.245,2.05E+03,1.264409596,0.046678907,1648.815758,234.8396465,7257.973232,18653.75859,1.059634444,0.207698141
7348135.33,2.07E+03,1.26376697,0.046594747,1665.628889,236.9406263,7303.02596,18797.71919,1.061529394,0.208309545
7699061.971,2.09E+03,1.263028182,0.046526271,1681.521111,238.9642626,7347.570505,18938.30303,1.063489596,0.209197707
8063459.58,2.11E+03,1.262306667,0.046479881,1695.107475,240.7810404,7389.543636,19067.83232,1.06548,0.210542303
8429710.525,2.13E+03,1.261607071,0.046451738,1713.391616,243.0405657,7437.621414,19220.75455,1.067482929,0.212254919
8789308.859,2.15E+03,1.260602424,0.046368967,1731.09303,245.2872525,7481.767071,19364.5596,1.069483333,0.214386626
9136006.853,2.17E+03,1.259918283,0.046290821,1748.053737,247.4843939,7528.317273,19508.76566,1.071600101,0.21688296
9470894.131,2.19E+03,1.258825354,0.046173835,1763.670606,249.5509495,7555.254444,19597.25253,1.07368404,0.219778232
9797637.617,2.21E+03,1.258304545,0.046095697,1776.545556,251.3661414,7604.324747,19751.87071,1.075906768,0.22303701
10120033.08,2.23E+03,1.257220404,0.046001382,1798.201515,253.8865354,7663.270101,19941.77879,1.078085556,0.226675808
10442710.28,2.26E+03,1.256406364,0.045906767,1815.962323,256.0888384,7707.331111,20086.07071,1.080265455,0.23062296
10761576.99,2.29E+03,1.255777778,0.045822596,1833.734747,258.3434444,7753.446364,20230.74747,1.082500909,0.234779485
11073316.06,2.33E+03,1.254923232,0.045625511,1848.671212,260.4217778,7791.752929,20362.59495,1.084677778,0.239182323
11375738.39,2.37E+03,1.254368384,0.045472748,1861.727071,262.3299293,7820.851515,20464.96566,1.086888182,0.243951828
11668344.96,2.44E+03,1.253849394,0.04536299,1875.903636,264.4945152,7877.008889,20654.39798,1.08909899,0.249005101
11951800.19,2.48E+03,1.253581212,0.04529776,1891.600101,266.820404,7916.249394,20791.40909,1.091369697,0.254413364
