Annual Expected Loss,Property premium,hhldconsumprt,unemploymentrt,CentralG Consumption,LocalG Consumption,dtotalvalueadded,totactualprod,Pinvestcc,Landuse ratio
3777199.737,1920.785758,1.26901101,0.047544485,1503.608788,216.9896465,6861.043636,17296.92121,1.041901212,0.345316
4050434.21,1928.128081,1.269038384,0.047437834,1517.830505,218.992303,6889.599899,17407.36465,1.043155455,0.344943
4333374.205,1936.64404,1.268905758,0.047339224,1529.912929,220.7764747,6947.835758,17602.09192,1.044405859,0.34462
4627213.75,1946.682727,1.268884646,0.047228748,1547.685556,223.4629798,6990.600707,17757.16566,1.04586101,0.344336
4939058.223,1958.372424,1.26844697,0.047101959,1562.495556,225.6684646,7032.831111,17908.04747,1.047361616,0.344085
5269059.691,1971.705253,1.268097879,0.047023823,1577.613131,227.7277677,7081.486061,18059.15859,1.049130505,0.343862
5614539.751,1986.591616,1.267259899,0.046911402,1591.410404,229.567899,7124.031212,18192.93434,1.050907778,0.343663
5974119.059,2002.899596,1.266113535,0.046800414,1603.664646,231.6589192,7172.759899,18349.58788,1.052606162,0.343483
6344687.136,2020.476364,1.265227374,0.04669998,1620.258889,234.3261414,7218.536465,18500.15859,1.054388788,0.343322
6723501.506,2039.169596,1.26387101,0.046585212,1635.867273,236.5425051,7262.467576,18644.63131,1.056062727,0.343175
7106542.929,2058.83303,1.263020303,0.046474887,1650.99404,238.5384848,7308.006566,18787.45253,1.057856263,0.343041
7486244.687,2079.329293,1.262002222,0.046352563,1663.866768,240.0816465,7347.14303,18903.31313,1.059676465,0.342919
7853612.323,2100.540505,1.260978586,0.046242319,1679.823434,241.9827071,7398.830101,19072.30909,1.061478283,0.342806
8201495.929,2122.359192,1.260010404,0.04614869,1695.380808,244.2626566,7442.181414,19214.33434,1.063279495,0.342703
8526991.374,2144.692727,1.258980202,0.046039486,1711.46899,246.8023838,7485.033131,19356.66162,1.065068081,0.342607
8830607.778,2167.46101,1.258191212,0.045927235,1726.943535,249.2637475,7528.58798,19499.26364,1.066969394,0.342518
9120488.556,2190.597071,1.257265758,0.045811306,1741.516364,251.6549192,7549.27404,19576.10505,1.06887798,0.342436
9411934.364,2214.040404,1.25657899,0.045711844,1755.749798,253.6064242,7615.450707,19777.51818,1.070899798,0.342359
9721827.727,2237.746667,1.255497071,0.045597396,1772.766667,256.0495051,7659.395758,19923.92727,1.072886061,0.342287
10052034.06,2261.675051,1.254578485,0.045487861,1789.74596,258.2765455,7702.651414,20063.9596,1.074833131,0.34222
10398192.03,2285.796061,1.253732626,0.045363326,1805.955859,260.3843939,7745.833535,20205.09899,1.07681202,0.342158
10761225.53,2310.086667,1.252822727,0.04516667,1821.398384,262.7555253,7784.60404,20343.72323,1.078750101,0.3421
11136274.92,2334.529899,1.252415556,0.045037192,1832.351717,264.8158586,7819.42697,20456.21515,1.080760202,0.342054
11518136.34,2359.110909,1.251807778,0.044922447,1851.089192,267.2582121,7865.241717,20613.61414,1.082755556,0.342021
11915744.99,2383.822828,1.251352828,0.044816778,1868.347879,269.6189091,7905.706061,20748.79192,1.084771111,0.342004
12334309.73,2408.655657,1.250968687,0.044725856,1884.482323,272.0757879,7945.719697,20885.00404,1.086815859,0.342001
12777236.56,2433.609495,1.250514545,0.044636924,1899.878485,274.5170202,7974.428081,20988.37374,1.088890101,0.342011
13245754.67,2458.681818,1.250231212,0.04455926,1911.828081,276.4416162,8013.567778,21118.50101,1.091063737,0.342034
13729890.36,2483.875758,1.249713434,0.044482619,1928.655455,279.1896667,8067.719293,21294.99293,1.093255455,0.342068
14219683,2509.196768,1.249415859,0.044431366,1945.75798,281.5264141,8110.404646,21432.69293,1.095533232,0.342111
14710859.85,2534.646263,1.249008687,0.044365065,1962.608081,283.8804444,8152.126162,21570.77778,1.097847778,0.342164
15222220.17,2560.231818,1.248470606,0.044295307,1978.014747,285.9363333,8193.348788,21709.53333,1.10017697,0.342224
15776799.06,2585.957374,1.248226667,0.044245159,1990.237778,287.872798,8217.257172,21789.70303,1.102578283,0.342291
16380678.04,2611.830707,1.247773939,0.044214182,2005.768384,289.7926768,8278.425556,21981.96364,1.104982525,0.342365
17028829.14,2637.860707,1.247222424,0.044173183,2023.965051,292.2015354,8320.801111,22122.89798,1.107406263,0.342445
17712461.95,2664.059091,1.246753535,0.044129619,2040.469495,294.2092121,8363.353131,22262.25657,1.109851212,0.34253
18427499.2,2690.436667,1.246256061,0.044086665,2056.16798,296.4509293,8405.771515,22402.04646,1.112307879,0.34262
19165023.93,2717.005253,1.246045152,0.04407563,2069.831414,298.5091313,8428.993636,22476.72727,1.114797576,0.342715
19922408.79,2743.774545,1.245771212,0.044065888,2086.634242,301.1184949,8468.538384,22608.26465,1.117306869,0.342815
20711756.94,2770.755253,1.245382323,0.044046955,2103.171818,303.657303,8534.776061,22819.14545,1.119849697,0.342918
21535618.03,2797.95596,1.244959091,0.044025468,2119.594646,305.842798,8577.719798,22959.93535,1.122405556,0.343026
22390246.65,2825.387677,1.244593838,0.044014571,2136.238788,308.2026566,8621.567879,23101.38586,1.124997475,0.343137
23255279.33,2853.06101,1.244406768,0.044006214,2151.903939,310.4384747,8656.049798,23211.77374,1.127627475,0.343253
24101037.89,2880.985859,1.244247374,0.044001187,2166.083535,312.7375253,8699.073939,23347.59596,1.13029303,0.343372
24900167.56,2909.170202,1.243812727,0.043984077,2183.864242,314.8182727,8755.931818,23527.67172,1.132961616,0.343495
25627937.71,2937.619293,1.243618485,0.043990221,2202.411616,317.212798,8802.147677,23671.04949,1.135658586,0.343621
26268384.05,2966.333636,1.243357677,0.043969377,2219.470707,319.4628081,8848.162424,23816.94545,1.138387677,0.343752
26818474.61,2995.305859,1.243150909,0.04395062,2235.29899,322.0893131,8887.653737,23938.73838,1.141146364,0.343886
27287980.01,3024.526263,1.243037677,0.043935555,2247.926162,323.9865253,8925.324848,24055.31111,1.143940101,0.344024
27692292.08,3053.97404,1.242853232,0.0439379,2265.286667,336.6925152,8983.798788,24259.31212,1.146756667,0.344167
28072384.83,3083.634444,1.242698081,0.043926202,2286.943535,340.6863737,9030.63697,24409.0303,1.149593434,0.344313
28494073.48,3113.485758,1.242230404,0.043866079,2304.005051,343.7936566,9076.916768,24563.02424,1.152449394,0.344463
28991594.27,3143.515152,1.242018283,0.043835992,2320.325556,346.6680707,9123.95596,24710.15152,1.155342323,0.344618
29569193.85,3173.714949,1.241956061,0.043824623,2330.497879,347.7295657,9162.085051,24809.45455,1.158288889,0.344777
30225036.81,3204.087778,1.241732323,0.043822904,2351.242424,349.4226768,9225.29202,25010.43838,1.161232525,0.344941
30959710.91,3234.636768,1.241235354,0.043789204,2372.013232,351.4884747,9271.713737,25162.99596,1.16416798,0.34511
31760897.15,3265.373232,1.241121212,0.043780482,2389.51303,353.421,9319.63899,25312.09394,1.167146869,0.345284
32638956.27,3296.310606,1.240957071,0.043779341,2406.042727,355.1539798,9366.739394,25459.58081,1.170148384,0.345463
33612326.63,3327.467273,1.240697475,0.04376636,2420.392626,356.8143535,9413.275354,25603.98485,1.17317101,0.345647
34664984.2,3358.863737,1.24063,0.043768814,2432.600404,358.2140606,9464.102828,25757.1101,1.176224949,0.345837
35770204.49,3390.524848,1.240134242,0.043746828,2457.74303,361.2319596,9511.050909,25910.94141,1.179233838,0.346033
36920713.44,3422.475253,1.239924343,0.043737854,2475.1,363.6750606,9559.173939,26062.2,1.182274747,0.346237
38095182.14,3454.738283,1.239828081,0.043734239,2492.567374,366.2866364,9590.517071,26157.44444,1.185347172,0.346453
39286981.82,3487.335455,1.239719091,0.043725796,2506.486869,368.2547374,9636.973333,26302.47273,1.188442929,0.346686
40479007.68,3520.284343,1.239622424,0.043731504,2521.606465,370.3854848,9704.904848,26510.02121,1.191553535,0.346939
41652269.9,3553.600101,1.239225455,0.043731341,2544.154646,372.8362222,9752.540909,26664.22828,1.194638687,0.347212
42803075.86,3587.294343,1.239210202,0.043740023,2561.940404,375.3954343,9801.378889,26814.82828,1.197763838,0.347505
43943160.61,3621.372121,1.23904,0.043738632,2579.291313,378.2831919,9836.363535,26926.43939,1.20089697,0.347817
45106734.65,3655.839394,1.238932828,0.04373879,2592.886869,380.801899,9879.139293,27059.22121,1.20405,0.348149
46309747.58,3690.701212,1.238891919,0.043768191,2609.080909,400.9216061,9942.099091,27274.26061,1.207233535,0.348497
47550771.52,3725.961919,1.238720303,0.043785345,2629.606061,417.9234444,9992.063636,27439.16364,1.210443636,0.348863
48827193.03,3761.632626,1.238565354,0.043795536,2648.926162,430.5335455,10043.77253,27606.67677,1.213685758,0.349243
50120809.7,3797.721515,1.238620202,0.043821512,2667.255051,440.4348788,10096.94,27772.4697,1.216969091,0.349638
51412389.7,3834.242121,1.238588384,0.043854294,2684.694242,433.2513636,10107.14212,27811.46364,1.220263131,0.350047
52695610.91,3871.202323,1.238848788,0.043901922,2697.767475,425.4995758,10198.3196,28083.26364,1.223589596,0.350469
53960570.71,3908.613535,1.238721616,0.043934959,2719.516263,421.7972525,10249.91061,28238.11919,1.226874444,0.350904
55185764.14,3946.479091,1.238763333,0.043965856,2738.60303,419.7043434,10302.51939,28389.81515,1.230161212,0.35135
56355203.94,3984.804343,1.238789798,0.044006974,2757.097374,418.1399192,10353.98061,28542.18687,1.233445859,0.351808
57459565.66,4023.586263,1.238851515,0.044044485,2774.613434,417.0056465,10397.55626,28675.62323,1.236733737,0.352278
58501420.12,4062.817273,1.239148687,0.044091848,2787.622828,416.2964141,10446.30475,28813.11919,1.240049495,0.352759
59505056.07,4102.486667,1.239153131,0.044133779,2810.234848,416.9662121,10504.39343,28997.61818,1.243332222,0.353251
60500959.59,4142.573232,1.239314949,0.044187168,2829.351212,417.9706566,10554.02636,29150.22424,1.246632222,0.353755
61534135.49,4182.873838,1.23943101,0.044225219,2847.682323,418.9916869,10603.37242,29304.38384,1.249943838,0.35427
62658301.95,4223.11303,1.239687677,0.044267619,2863.221111,420.3870202,10636.77525,29405.88788,1.253284545,0.354797
63905382.02,4263.185152,1.239903434,0.044311771,2878.495051,421.8760808,10683.26374,29550.85152,1.256639899,0.355335
65313470.88,4303.100303,1.239929091,0.044356195,2899.742222,424.0973737,10752.99293,29766.40909,1.259985556,0.355885
66901431.83,4342.921212,1.240107576,0.044395915,2919.616364,426.4490404,10803.07677,29922.93838,1.263353838,0.356448
68674786.53,4382.490606,1.240267778,0.04442518,2938.680404,428.6405455,10852.55455,30079.57374,1.266739394,0.357023
70624422.6,4421.652222,1.240377576,0.044447753,2955.647374,430.6299192,10902.15051,30234.54646,1.270141515,0.357611
72704546.39,4460.44697,1.240601717,0.044491059,2970.263838,432.5375253,10953.63838,30392.67273,1.27357303,0.358212
74845111.25,4499.030707,1.240694545,0.044527033,2991.572929,435.0893939,11004.4596,30552.05455,1.277005354,0.358827
76985522.62,4537.610808,1.240943737,0.044565571,3010.798788,437.3578081,11055.61919,30710.09495,1.280466667,0.359456
79087538.91,4576.405051,1.241086162,0.044588682,3030.717374,439.9013838,11105.8404,30869.83232,1.283938182,0.3601
81144825.72,4615.623434,1.241345758,0.044629325,3048.795051,442.3457576,11139.67879,30972.0101,1.287442323,0.360758
83193718.72,4655.448283,1.241773535,0.044665531,3061.293535,444.352,11206.17778,31183.18586,1.291000404,0.361432
85304800.99,4696.03596,1.241884747,0.044692088,3081.689596,447.2489798,11255.26869,31345.53939,1.294552323,0.362123
87529600.87,4737.518889,1.241961515,0.044708599,3103.971515,450.4939899,11303.28687,31504.95455,1.298115354,0.36283
89864827.7,4779.911212,1.242116162,0.044733615,3122.85697,453.3861212,11352.61414,31665.44141,1.30171596,0.363554
92260286.28,4822.918687,1.242396263,0.044758204,3141.392929,455.7460505,11387.2303,31777.72626,1.305365051,0.364296
94678040.42,4866.235556,1.242707172,0.044777401,3158.150808,457.742202,11448.08384,31982.89293,1.309066566,0.365057
97097550.4,4909.554747,1.242982525,0.044798492,3173.321313,459.5990909,11494.21212,32138.56263,1.312817778,0.365837
